first_name,last_name,url,personality_traits,Houses,last_name_1,gender,wand,patronus,hair_color,eye_color,loyalty,skills,description,full_description
Filius,Flitwick,https://harrypotter.fandom.com/wiki/Filius_Flitwick,"Professor Flitwick carrying a pile of booksFlitwick was an emotional fellow, who seemed to have a gentle spirit. During the – school year when Ginevra Weasley was taken into the Chamber of Secrets, he burst into tears, and in 's Valentine's Day, when Gilderoy Lockhart called him a ""sly old dog"", he buried his face in his hands. He was also shown to have a sense of mischief and fun. He sarcastically remarked to Dolores Umbridge that, while he easily had the ability to remove Fred and George's rampaging fireworks, he wasn't sure if he had the authority. He also discretely cheered the Weasley Twins' escape from the school, and left a small patch of the twin's Portable Swamp under the window, which Ron believed he had done as a monument to Fred and George. He also covertly sneaked Harry a box of Sugar Mice so as to reward him for speaking out about Voldemort in the Quibbler because he couldn't talk about it aloud, murmuring a little 'shush' to Harry afterwards.
Professor Flitwick sat readingFlitwick was considerably more tolerant of disobedience than most of his fellow professors, known for rarely handing out detentions and deducting House Points, his more laid-back and forgiving teaching attitude making him particularly liked and respected by the students. This has been shown many times during his Charms lessons: when Ron, due to his broken wand, accidentally cast a spell that hit Flitwick square in the face, Flitwick was not known to punish him as Ron got away with only cursing his broken wand. Neither did he punish Hermione for not showing up in class to learn the Cheering Charm, only warning her that it would appear in the exam. 
Additionally, when Neville Longbottom, while fumbling with attempts at casting a Banishing Charm, ended up sending Flitwick sailing across the room; Flitwick accepted this resignedly and let Neville off. Rather than punishing Seamus with detention after he accidentally hit Flitwick with the Water-Making Spell, Flitwick instead had him do lines. He was also shown to be much more generous than the other teachers even in normal occasions, as he allowed his students to play games in class when Christmas was near and did the same during the approach to the Yule Ball in  when he saw their minds were elsewhere. Rather than punish those who slacked in their studies, Flitwick preferred to give homework for students to catch up and he also encouraged them to experiment with magic.
A wise man even at his youth, despite having been discriminated in his early life due to his small stature and goblin ancestry, Flitwick saw those who discriminated him not as hateful but instead ignorant. He was eminently fair and never discriminated anyone regardless of their origin or whether they were of different house and treated all students the same. This is shown by how despite the wrongdoings one of his students, Flitwick was quick to favour and develop a close relationship with his sibling, teaching them several advanced spells and forgiving their misdeeds.
Nevertheless, he commanded respect in spite of his sensitive nature and small stature. When he encountered Harry Potter and Draco Malfoy on the stairs discussing Harry's new Nimbus , Malfoy treated him just like any other teacher with no hint of the sarcasm he used with Remus Lupin.
",Ravenclaw,Flitwick,Male,Unknown,Non-corporeal,White,,,Charms,"As Hogwarts Charms Professor, Filius Flitwick was in charge of teaching his pupils everything from Cheering Charms to making objects fly - combining accurate incantation enunciation with the precise wand movements (like the ‘swish and flick’). As Head of Ravenclaw house Flitwick was an integral part of school life. Despite his diminutive size, Flitwick's magic was powerful, complex and instrumental in protecting Hogwarts from various external (and sometimes internal) dangers - he was even a once a duelling champion.
","Professor Flitwick carrying a pile of booksFlitwick was an emotional fellow, who seemed to have a gentle spirit. During the – school year when Ginevra Weasley was taken into the Chamber of Secrets, he burst into tears, and in 's Valentine's Day, when Gilderoy Lockhart called him a ""sly old dog"", he buried his face in his hands. He was also shown to have a sense of mischief and fun. He sarcastically remarked to Dolores Umbridge that, while he easily had the ability to remove Fred and George's rampaging fireworks, he wasn't sure if he had the authority. He also discretely cheered the Weasley Twins' escape from the school, and left a small patch of the twin's Portable Swamp under the window, which Ron believed he had done as a monument to Fred and George. He also covertly sneaked Harry a box of Sugar Mice so as to reward him for speaking out about Voldemort in the Quibbler because he couldn't talk about it aloud, murmuring a little 'shush' to Harry afterwards.
Professor Flitwick sat readingFlitwick was considerably more tolerant of disobedience than most of his fellow professors, known for rarely handing out detentions and deducting House Points, his more laid-back and forgiving teaching attitude making him particularly liked and respected by the students. This has been shown many times during his Charms lessons: when Ron, due to his broken wand, accidentally cast a spell that hit Flitwick square in the face, Flitwick was not known to punish him as Ron got away with only cursing his broken wand. Neither did he punish Hermione for not showing up in class to learn the Cheering Charm, only warning her that it would appear in the exam. 
Additionally, when Neville Longbottom, while fumbling with attempts at casting a Banishing Charm, ended up sending Flitwick sailing across the room; Flitwick accepted this resignedly and let Neville off. Rather than punishing Seamus with detention after he accidentally hit Flitwick with the Water-Making Spell, Flitwick instead had him do lines. He was also shown to be much more generous than the other teachers even in normal occasions, as he allowed his students to play games in class when Christmas was near and did the same during the approach to the Yule Ball in  when he saw their minds were elsewhere. Rather than punish those who slacked in their studies, Flitwick preferred to give homework for students to catch up and he also encouraged them to experiment with magic.
A wise man even at his youth, despite having been discriminated in his early life due to his small stature and goblin ancestry, Flitwick saw those who discriminated him not as hateful but instead ignorant. He was eminently fair and never discriminated anyone regardless of their origin or whether they were of different house and treated all students the same. This is shown by how despite the wrongdoings one of his students, Flitwick was quick to favour and develop a close relationship with his sibling, teaching them several advanced spells and forgiving their misdeeds.
Nevertheless, he commanded respect in spite of his sensitive nature and small stature. When he encountered Harry Potter and Draco Malfoy on the stairs discussing Harry's new Nimbus , Malfoy treated him just like any other teacher with no hint of the sarcasm he used with Remus Lupin.
 As Hogwarts Charms Professor, Filius Flitwick was in charge of teaching his pupils everything from Cheering Charms to making objects fly - combining accurate incantation enunciation with the precise wand movements (like the ‘swish and flick’). As Head of Ravenclaw house Flitwick was an integral part of school life. Despite his diminutive size, Flitwick's magic was powerful, complex and instrumental in protecting Hogwarts from various external (and sometimes internal) dangers - he was even a once a duelling champion.
"
Garrick,Ollivander,https://harrypotter.fandom.com/wiki/Garrick_Ollivander,"Ollivander and his many wandsOllivander was an intelligent man, with a perfect memory when it came to his work; he remembered the details of every wand he ever sold. He seemed to become happier the more difficult the challenge to find exactly the right wand for a difficult customer was. He used a magical tape measure to help assess customers for their wand.
Ollivander had a professorial enthusiasm for wandlore and was immensely learned in it. A less savoury aspect of his personality was that his fascination with wandlore sometimes eclipsed his sense of right and wrong; he was so fascinated with what a powerful wizard could do when matched with the right wand that he became detached from the good or evil nature of their actions.
A prime example of this would be Tom Riddle, who became Lord Voldemort. Even after the First Wizarding War, Ollivander remembered him as having done ""great things"" with his wand — ""terrible, yes, but great"". An even more extreme example was during the Second Wizarding War, when Ollivander, having just been rescued from a year of imprisonment and torture at Voldemort's hands, was briefly enthralled by the thought of what Voldemort might do when matched with the Elder Wand.
However, Ollivander still valued his own life and well-being, and divulged information to Voldemort whenever threatened with death and tortured by the Cruciatus Curse. The wandmaker feared the Dark Lord's wrath and begged for mercy when informed that his (Ollivander's) advice about using another wand was incorrect.
",Ravenclaw,Ollivander,Male,"12¾"" Hornbeam dragon heartstring",Non-corporeal,,Silvery,,An incomparable understanding of wandcraft,"Considered one of the best-ever wandmakers, Garrick Ollivander owned the wand shop on Diagon Alley, his family business Ollivanders. It was here that Hogwarts students bought their first wands and where Harry found his, an unusual holly wood and phoenix feather. Ollivander's expertise on wands meant he was valuable to Lord Voldemort, particularly when it came to understanding the true power of the Elder Wand
","Ollivander and his many wandsOllivander was an intelligent man, with a perfect memory when it came to his work; he remembered the details of every wand he ever sold. He seemed to become happier the more difficult the challenge to find exactly the right wand for a difficult customer was. He used a magical tape measure to help assess customers for their wand.
Ollivander had a professorial enthusiasm for wandlore and was immensely learned in it. A less savoury aspect of his personality was that his fascination with wandlore sometimes eclipsed his sense of right and wrong; he was so fascinated with what a powerful wizard could do when matched with the right wand that he became detached from the good or evil nature of their actions.
A prime example of this would be Tom Riddle, who became Lord Voldemort. Even after the First Wizarding War, Ollivander remembered him as having done ""great things"" with his wand — ""terrible, yes, but great"". An even more extreme example was during the Second Wizarding War, when Ollivander, having just been rescued from a year of imprisonment and torture at Voldemort's hands, was briefly enthralled by the thought of what Voldemort might do when matched with the Elder Wand.
However, Ollivander still valued his own life and well-being, and divulged information to Voldemort whenever threatened with death and tortured by the Cruciatus Curse. The wandmaker feared the Dark Lord's wrath and begged for mercy when informed that his (Ollivander's) advice about using another wand was incorrect.
 Considered one of the best-ever wandmakers, Garrick Ollivander owned the wand shop on Diagon Alley, his family business Ollivanders. It was here that Hogwarts students bought their first wands and where Harry found his, an unusual holly wood and phoenix feather. Ollivander's expertise on wands meant he was valuable to Lord Voldemort, particularly when it came to understanding the true power of the Elder Wand
"
Cho,Chang,https://harrypotter.fandom.com/wiki/Cho_Chang,"Cho in her fifth yearGenerally polite, sweet, and well-mannered, Cho was easy to get along with and was a popular student at Hogwarts, with a large group of friends and many boys who admired her for her extreme beauty (including Harry Potter himself).
Having been sorted into Ravenclaw House, Cho was presumably intelligent, enforced by her mastery of all defence magic that Harry taught her, including the Patronus Charm, though she did admit that she was unable to stun anything before Harry taught her. She was also an avid Quidditch fan (having supported the Tutshill Tornados since she was six years old) and a good athlete, playing Seeker for her House's team.
She was also loyal and brave, having been loyal to the Tutshill Tornados for many years as opposed to jumping the bandwagon, joining Dumbledore's Army in defiance with the Ministry both out of support of Harry and in order to avenge the death of her late boyfriend Cedric, sticking up for her friend Marietta when the rest of the group ousted her for her treachery, and returning to Hogwarts in her seventh year in order to fight alongside her comrades and defend the school from Death Eaters.
For the most part, Cho was often found around Hogwarts with a gaggle of girlfriends, though after one of her emotional breakdowns over Cedric's death, they apparently left her during her depression. Despite this, Cho was a very loyal person (perhaps even to a fault); when she and her friend Marietta Edgecombe joined Dumbledore's Army, she insisted on bringing her friend along even when her friend expressed disinterest and cynicism to the club's effects.
Later, even though Marietta eventually sold out the DA to Umbridge and the Ministry of Magic, Cho stood by her and insisted to the accusatory Harry that Marietta was a 'lovely person' who 'just made a mistake'. Her loyalty and courage were shown again when she came back to Hogwarts to fight even after she had graduated, and offered to show Harry up to the Ravenclaw Tower, indicating that she harboured no hard feelings against them despite their previously fallen out romantic relationship.
Cho was perceived by Harry Potter and Ron Weasley to be excessively emotional, though as Hermione stated, much of this characterisation was attributed to her behaviour and actions directly after her boyfriend's death, pushing her way through the trauma and grief that is only observed from the periphery. During her grief, she was prone to many crying spells and a difficult control over her emotions, leading to a prying sort of aggression when she dated Harry to get the details of Cedric's death.
Cho also felt irrational jealousy and paranoia when Harry would bring up Hermione Granger for what Cho saw to be flippant insensitivity from Harry's end. Hermione, for her part, did not seem to blame Cho at all, understanding her grief and depression and stating that it had interfered with many aspects of Cho's life, including Cho's grades and her position on the Quidditch team.
Cho has also said that she and Roger Davies used to date; after Ravenclaw's loss of the House Cup in , Ginny Weasley said that Michael Corner had gone to comfort Cho. Later in life, she married a Muggle.
",Ravenclaw,Chang,Female,Unknown,Swan,Black,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Seeker,"The Ravenclaw pupil played Seeker for her house Quidditch team and dated both Cedric Diggory and Harry Potter. First appearing when Harry was competing in the Triwizard Tournament, Cho was devoted to Hufflepuff's competitor, Cedric. However, following the tragic climax of the competition Cho vowed to fight back against the Dark Arts. Both Harry and Cho were Seekers for their respective Quidditch teams, jostling to win the Snitch. Whilst there could only be one victor on the pitch, once they were off their brooms the pair found they were better together than on opposing teams. However the pressures of fighting Voldemort meant their romance was short lived.
","Cho in her fifth yearGenerally polite, sweet, and well-mannered, Cho was easy to get along with and was a popular student at Hogwarts, with a large group of friends and many boys who admired her for her extreme beauty (including Harry Potter himself).
Having been sorted into Ravenclaw House, Cho was presumably intelligent, enforced by her mastery of all defence magic that Harry taught her, including the Patronus Charm, though she did admit that she was unable to stun anything before Harry taught her. She was also an avid Quidditch fan (having supported the Tutshill Tornados since she was six years old) and a good athlete, playing Seeker for her House's team.
She was also loyal and brave, having been loyal to the Tutshill Tornados for many years as opposed to jumping the bandwagon, joining Dumbledore's Army in defiance with the Ministry both out of support of Harry and in order to avenge the death of her late boyfriend Cedric, sticking up for her friend Marietta when the rest of the group ousted her for her treachery, and returning to Hogwarts in her seventh year in order to fight alongside her comrades and defend the school from Death Eaters.
For the most part, Cho was often found around Hogwarts with a gaggle of girlfriends, though after one of her emotional breakdowns over Cedric's death, they apparently left her during her depression. Despite this, Cho was a very loyal person (perhaps even to a fault); when she and her friend Marietta Edgecombe joined Dumbledore's Army, she insisted on bringing her friend along even when her friend expressed disinterest and cynicism to the club's effects.
Later, even though Marietta eventually sold out the DA to Umbridge and the Ministry of Magic, Cho stood by her and insisted to the accusatory Harry that Marietta was a 'lovely person' who 'just made a mistake'. Her loyalty and courage were shown again when she came back to Hogwarts to fight even after she had graduated, and offered to show Harry up to the Ravenclaw Tower, indicating that she harboured no hard feelings against them despite their previously fallen out romantic relationship.
Cho was perceived by Harry Potter and Ron Weasley to be excessively emotional, though as Hermione stated, much of this characterisation was attributed to her behaviour and actions directly after her boyfriend's death, pushing her way through the trauma and grief that is only observed from the periphery. During her grief, she was prone to many crying spells and a difficult control over her emotions, leading to a prying sort of aggression when she dated Harry to get the details of Cedric's death.
Cho also felt irrational jealousy and paranoia when Harry would bring up Hermione Granger for what Cho saw to be flippant insensitivity from Harry's end. Hermione, for her part, did not seem to blame Cho at all, understanding her grief and depression and stating that it had interfered with many aspects of Cho's life, including Cho's grades and her position on the Quidditch team.
Cho has also said that she and Roger Davies used to date; after Ravenclaw's loss of the House Cup in , Ginny Weasley said that Michael Corner had gone to comfort Cho. Later in life, she married a Muggle.
 The Ravenclaw pupil played Seeker for her house Quidditch team and dated both Cedric Diggory and Harry Potter. First appearing when Harry was competing in the Triwizard Tournament, Cho was devoted to Hufflepuff's competitor, Cedric. However, following the tragic climax of the competition Cho vowed to fight back against the Dark Arts. Both Harry and Cho were Seekers for their respective Quidditch teams, jostling to win the Snitch. Whilst there could only be one victor on the pitch, once they were off their brooms the pair found they were better together than on opposing teams. However the pressures of fighting Voldemort meant their romance was short lived.
"
Andromeda,Black,https://harrypotter.fandom.com/wiki/Andromeda_Black,"It is safe to assume, given her marriage to a Muggle-born, that Andromeda was very different from both of her sisters: while her sisters married into ""respectable"" pure-blood families, she married for love despite her family's opposition, leading to her family's hatred of her.
She was clearly a good mother, as seen by her showing her concern about her daughter's whereabouts after the Battle of the Seven Potters and taking care of her during her pregnancy. She was also a good grandmother, as she raised her daughter's son after her death.
Apart from her husband and daughter, her cousin Sirius Black considered her to be his only true family. This demonstrated that Andromeda always treated Sirius with respect and kindness. In addition to being a good wife, mother, and grandmother, she was a good friend to most people she knew. She was also strong-willed, as when she was tortured she did not reveal anything that could harm Harry Potter or any of her friends. 
Like Molly Weasley, Andromeda was a woman dedicated to her family and friends. Thus, in many ways, Andromeda's personality contradicted the ""evil Slytherin"" stereotype held by many students of the other Houses. Instead, she appeared to embody the Slytherin principle of fraternity. This was seen by her standing by her friends, family, and allies.
",Slytherin,,,,,,,,,,"It is safe to assume, given her marriage to a Muggle-born, that Andromeda was very different from both of her sisters: while her sisters married into ""respectable"" pure-blood families, she married for love despite her family's opposition, leading to her family's hatred of her.
She was clearly a good mother, as seen by her showing her concern about her daughter's whereabouts after the Battle of the Seven Potters and taking care of her during her pregnancy. She was also a good grandmother, as she raised her daughter's son after her death.
Apart from her husband and daughter, her cousin Sirius Black considered her to be his only true family. This demonstrated that Andromeda always treated Sirius with respect and kindness. In addition to being a good wife, mother, and grandmother, she was a good friend to most people she knew. She was also strong-willed, as when she was tortured she did not reveal anything that could harm Harry Potter or any of her friends. 
Like Molly Weasley, Andromeda was a woman dedicated to her family and friends. Thus, in many ways, Andromeda's personality contradicted the ""evil Slytherin"" stereotype held by many students of the other Houses. Instead, she appeared to embody the Slytherin principle of fraternity. This was seen by her standing by her friends, family, and allies.
 "
Lestrange,,https://harrypotter.fandom.com/wiki/Lestrange,"With what little we see of Lestrange, as a teenager he admired Tom Riddle and already viewed him as a leader. Like the other members of the gang, he already was committing dark acts as a student, meaning he was likely sadistic even then. He appeared to be somewhat lax in his schoolwork as Slughorn quite sternly threatened to give him detention if his essay wasn't completed. Despite this his was likely a skilled wizard or related to someone notable since he was chosen to be in the Slug Club.
",Slytherin,,,,,,,,,,"With what little we see of Lestrange, as a teenager he admired Tom Riddle and already viewed him as a leader. Like the other members of the gang, he already was committing dark acts as a student, meaning he was likely sadistic even then. He appeared to be somewhat lax in his schoolwork as Slughorn quite sternly threatened to give him detention if his essay wasn't completed. Despite this his was likely a skilled wizard or related to someone notable since he was chosen to be in the Slug Club.
 "
Evan,Rosier,https://harrypotter.fandom.com/wiki/Evan_Rosier,"Little is known about Evan Rosier's personality, except the fact that he chose to resist and try to avoid imprisonment. Rosier was courageous enough to resist capture from the legendary Auror Alastor Moody, rather than flee to save his own neck, something that Slytherins (such as Phineas Nigellus Black) called ""bravery"". This also shows that Evan was willing to fight to the death if necessary. Furthermore, Rosier likely had a pure-blood obsession and a passion for the Dark Arts, like most of his fellow Death Eater friends at Hogwarts.
",Slytherin,,,,,,,,,,"Little is known about Evan Rosier's personality, except the fact that he chose to resist and try to avoid imprisonment. Rosier was courageous enough to resist capture from the legendary Auror Alastor Moody, rather than flee to save his own neck, something that Slytherins (such as Phineas Nigellus Black) called ""bravery"". This also shows that Evan was willing to fight to the death if necessary. Furthermore, Rosier likely had a pure-blood obsession and a passion for the Dark Arts, like most of his fellow Death Eater friends at Hogwarts.
 "
Pansy,Parkinson,https://harrypotter.fandom.com/wiki/Pansy_Parkinson,"Sadistic, mean-spirited, and petty, Pansy often bullied and teased Gryffindor students, as well as other students in general. She might have targeted them in particular because of Harry Potter's aforementioned hostile relationship with Draco Malfoy (and also his general unpopularity among Slytherins), but it seems that by all appearances, she just had a fondness for tormenting others in general. Pansy apparently had some sort of friendship with the Gryffindor Parvati Patil at one point, or at least respected her to an extent, though this possible friendship appeared to have fully evaporated by the time of their fifth year. During their first Flying lesson in the – school year, Pansy disapproved of Parvati defending Neville Longbottom (after he injured himself during the lesson), saying she 'never thought Parvati would like fat little cry-babies'.
Pansy and others mocking Harry Potter about his fear of DementorsSimilarly, Pansy and her fellow Slytherins joined Hufflepuff in supporting Cedric Diggory, whom they considered to be 'the real Hogwarts champion' for the Triwizard Tournament during the - school year, but this was likely done less out of kindness or respect for Cedric, and more out of a desire to denigrate and antagonise Harry Potter (who Pansy and most Slytherins looked down upon). However, she did later refer to Cedric as 'good-looking' when she saw his former girlfriend Cho Chang with Harry, indicating that she liked his handsomeness if nothing else.
Hermione Granger once described Pansy as 'thicker than a concussed troll'. This may not have been totally inaccurate, as Hermione typically showed respect for genuine talent and skill in people, even if said people had upset her, as Professor Snape did on a few occasions. Therefore, if Hermione had no such praise to give, it indicates that Pansy probably did lack talent or intelligence, though the fact that she was made a prefect and got a high score in at least her Defence Against the Dark Arts O.W.L. should be considered.
Pansy most likely lacked common sense and rational thought, as her extremely unwise suggestion of handing over Harry Potter to Voldemort resulted in the entirety of Gryffindor, Hufflepuff and Ravenclaw threatening to magically assault her in retaliation, meaning she was likely unable to consider the consequences of her selfish actions. Her actions also made her appear very cowardly, since Pansy did appear to be very frightened and anxious about the situation, but failed to demonstrate any bravery or decency in response.
Judging by the amusement Pansy expressed when Blaise Zabini made an offensive comment about Ginny Weasley being a 'filthy blood traitor', her association with the then-prejudiced Draco Malfoy, as well as the stance she expressed just before the Battle of Hogwarts, she was most likely a prejudiced pure-blood supremacist herself.
",Slytherin,,,,,,,,,,"Sadistic, mean-spirited, and petty, Pansy often bullied and teased Gryffindor students, as well as other students in general. She might have targeted them in particular because of Harry Potter's aforementioned hostile relationship with Draco Malfoy (and also his general unpopularity among Slytherins), but it seems that by all appearances, she just had a fondness for tormenting others in general. Pansy apparently had some sort of friendship with the Gryffindor Parvati Patil at one point, or at least respected her to an extent, though this possible friendship appeared to have fully evaporated by the time of their fifth year. During their first Flying lesson in the – school year, Pansy disapproved of Parvati defending Neville Longbottom (after he injured himself during the lesson), saying she 'never thought Parvati would like fat little cry-babies'.
Pansy and others mocking Harry Potter about his fear of DementorsSimilarly, Pansy and her fellow Slytherins joined Hufflepuff in supporting Cedric Diggory, whom they considered to be 'the real Hogwarts champion' for the Triwizard Tournament during the - school year, but this was likely done less out of kindness or respect for Cedric, and more out of a desire to denigrate and antagonise Harry Potter (who Pansy and most Slytherins looked down upon). However, she did later refer to Cedric as 'good-looking' when she saw his former girlfriend Cho Chang with Harry, indicating that she liked his handsomeness if nothing else.
Hermione Granger once described Pansy as 'thicker than a concussed troll'. This may not have been totally inaccurate, as Hermione typically showed respect for genuine talent and skill in people, even if said people had upset her, as Professor Snape did on a few occasions. Therefore, if Hermione had no such praise to give, it indicates that Pansy probably did lack talent or intelligence, though the fact that she was made a prefect and got a high score in at least her Defence Against the Dark Arts O.W.L. should be considered.
Pansy most likely lacked common sense and rational thought, as her extremely unwise suggestion of handing over Harry Potter to Voldemort resulted in the entirety of Gryffindor, Hufflepuff and Ravenclaw threatening to magically assault her in retaliation, meaning she was likely unable to consider the consequences of her selfish actions. Her actions also made her appear very cowardly, since Pansy did appear to be very frightened and anxious about the situation, but failed to demonstrate any bravery or decency in response.
Judging by the amusement Pansy expressed when Blaise Zabini made an offensive comment about Ginny Weasley being a 'filthy blood traitor', her association with the then-prejudiced Draco Malfoy, as well as the stance she expressed just before the Battle of Hogwarts, she was most likely a prejudiced pure-blood supremacist herself.
 "
Harper,,https://harrypotter.fandom.com/wiki/Harper,"Harper appeared to share the pure-blood supremacist beliefs of fellow Slytherins, as shown by his snide comments about Ron Weasley being a blood traitor. He also lacked good sportsmanship and took part in foul play, deliberately ramming Harry Potter during the first Quidditch match of .
",Slytherin,,,,,,,,,,"Harper appeared to share the pure-blood supremacist beliefs of fellow Slytherins, as shown by his snide comments about Ron Weasley being a blood traitor. He also lacked good sportsmanship and took part in foul play, deliberately ramming Harry Potter during the first Quidditch match of .
 "
Adrian,Pucey,https://harrypotter.fandom.com/wiki/Adrian_Pucey,"He was notable for being one of the few Slytherin Quidditch players who was not seen to commit a foul or otherwise cheat, despite being on the Quidditch team for at least three years.
",Slytherin,,,,,,,,,,"He was notable for being one of the few Slytherin Quidditch players who was not seen to commit a foul or otherwise cheat, despite being on the Quidditch team for at least three years.
 "
Marcus,Flint,https://harrypotter.fandom.com/wiki/Marcus_Flint,"Flint did not follow good sportsmanship when playing Quidditch, despite his position as Captain of his team. He allowed Draco Malfoy to join the team when bribed with the new Nimbus  broomsticks. Flint also resorted frequently to foul play, such as blocking Harry Potter in  and trying to scare him by disguising as a Dementor in .
He seemed to find the misfortunes of others amusing as he laughed when Ron's Slug-vomiting Charm backfired on himself. When Draco failed to notice the Snitch floating above his head, leading the team to lose, Flint yelled at the new Seeker rather harshly for his foolishness.
It was unknown how he viewed the importance of blood status, though he seemed to approve of when Draco called Hermione a mudblood and even defended him from harm afterwards, implying he may have held some prejudice towards Muggle-borns or that he was a pure-blood supremacist, similar to many other Slytherin students.
",Slytherin,,,,,,,,,,"Flint did not follow good sportsmanship when playing Quidditch, despite his position as Captain of his team. He allowed Draco Malfoy to join the team when bribed with the new Nimbus  broomsticks. Flint also resorted frequently to foul play, such as blocking Harry Potter in  and trying to scare him by disguising as a Dementor in .
He seemed to find the misfortunes of others amusing as he laughed when Ron's Slug-vomiting Charm backfired on himself. When Draco failed to notice the Snitch floating above his head, leading the team to lose, Flint yelled at the new Seeker rather harshly for his foolishness.
It was unknown how he viewed the importance of blood status, though he seemed to approve of when Draco called Hermione a mudblood and even defended him from harm afterwards, implying he may have held some prejudice towards Muggle-borns or that he was a pure-blood supremacist, similar to many other Slytherin students.
 "
Lucian,Bole,https://harrypotter.fandom.com/wiki/Lucian_Bole,"Lucian Bole, like many fellow members of the Slytherin Quidditch team, was shown to possess poor sportsmanship and a preference for committing fouls against rival players.
",Slytherin,,,,,,,,,,"Lucian Bole, like many fellow members of the Slytherin Quidditch team, was shown to possess poor sportsmanship and a preference for committing fouls against rival players.
 "
Merula,Snyde's,https://harrypotter.fandom.com/wiki/Merula_Snyde's_mother,"Merula's mother was a very cruel, ruthless and powerful witch. She was a vicious pure-blood supremacist, and strongly believed in the importance of blood purity. It was the reason why she, along her husband, became Death Eaters. She was very loyal to Lord Voldemort and was in particular very accomplished in duelling. Her abilities as a Death Eater allowed her to survive First Wizarding War, and most likely in the Second, if she continued to serve Voldemort following his return. 
Despite her malevolent nature, she was very loving and loyal towards her family. She cared deeply about her husband and daughter, Merula. After the war, she was imprisoned in Azkaban for several years, which would have had a considerably negative effect on both her mental state and magical abilities.
",Slytherin,,,,,,,,,,"Merula's mother was a very cruel, ruthless and powerful witch. She was a vicious pure-blood supremacist, and strongly believed in the importance of blood purity. It was the reason why she, along her husband, became Death Eaters. She was very loyal to Lord Voldemort and was in particular very accomplished in duelling. Her abilities as a Death Eater allowed her to survive First Wizarding War, and most likely in the Second, if she continued to serve Voldemort following his return. 
Despite her malevolent nature, she was very loving and loyal towards her family. She cared deeply about her husband and daughter, Merula. After the war, she was imprisoned in Azkaban for several years, which would have had a considerably negative effect on both her mental state and magical abilities.
 "
